type,value
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,0.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
Harlem,1.5
